candidate id (if applicable),committee id,committee name,filing frequency,Election year (if applicable),committee type,committee designation,filing start date,filing end date,total disbursements,new loans,outstanding loans,total receipts,cash on hand close of period,contributions from party committees,contributions from other committees,Transfers received from other affiliated or authorized committees,Individual Itemized Contribution,Individual Unitemized Contribution,Contributions from the candidate (candidate committees only),Sum of loans from the candidate,Sum of loans from other sources
,C00570465,OUR AMERICA PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-03-31,3849.52,,,67.07,258.85,,,,,67.07,,,
,C00531723,STRONGER TOGETHER,Termination report,2016,Super PAC,Unauthorized,2015-01-01,2015-05-18,16245.66,,,,,,,,,,,,
,C00536573,ABBVIE POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,54030.00,,,54852.84,84287.01,,,,34057.59,20794.33,,,
S4MI00355,C00437889,PETERS FOR MICHIGAN,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,122239.00,,,53506.00,152870.00,,43500.00,,3450.00,5376.00,,,
,C00131185,AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-02-01,2015-02-28,52082.85,,,76233.57,1572079.84,,,,22275.00,52631.82,,,
,C00489948,"ALVAREZ & MARSAL HOLDINGS, LLC PAC",Monthly,2016,PAC,Unauthorized,2015-04-01,2015-04-30,,,,1630.68,22107.89,,,,1630.68,,,,
,C00523910,USA PAC,Monthly,2016,Super PAC,Unauthorized,2015-05-01,2015-05-31,14.00,,,,400.00,,,,,,,,
,C00034678,AMERICAN WATERWAYS OPERATORS-PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,13599.82,,,25552.36,95295.34,,7000.00,,18125.04,427.32,,,
,C00100107,AMERICAN BEVERAGE ASSOCIATION POLITICAL ACTION COMMITTEE (AKA AMERICAN BEVERAGE PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,4000.00,,,3904.80,18442.21,,,,3775.96,128.84,,,
,C00040535,AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE ,Monthly,2016,PAC,Unauthorized,2015-04-01,2015-04-30,29500.00,,,53474.29,129692.76,,,,43764.90,9709.39,,,
H2CA35100,C00497859,HALL FOR CONGRESS EXPLORATORY COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-06-30,12726.21,,27536.14,221910.65,422718.34,,81598.33,,139663.32,649.00,,,
,C00006080,AMERICAN HEALTH CARE ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,52472.37,,,96526.93,257408.86,,5000.00,,84555.12,2971.81,,,
,C00089557,AMERICAN MARITIME OFFICERS RETIREES ASSOCIATION,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,,,,2049.76,154303.08,,,,200.00,1849.76,,,
,C00027532,AMERICAN MARITIME OFFICERS VOLUNTARY POLITICAL ACTION FUND,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,20000.00,,,38013.60,155076.84,,,,15034.00,20479.60,,,
,C00024968,AMERICAN OPTOMETRIC ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,103709.33,,,88019.52,477500.33,,,,60476.99,27498.20,,,
,C00012880,AMERICAN PHYSICAL THERAPY ASSOCIATION PHYSICAL THERAPY POLITICAL ACTION COMMITTEE (PT-PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,151857.14,,,44189.75,327498.68,,,,16155.68,27984.03,,,
,C00008839,AMERICAN PODIATRIC MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-04-01,2015-04-30,1500.00,,,29768.00,481258.85,,,,18758.00,11010.00,,,
,C00373696,AMERICAN PSYCHIATRIC ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,3294.81,,,21081.17,103845.26,,,,10421.66,9964.70,,,
,C00255752,AMERICAN SOCIETY OF ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,63591.38,,,80250.43,597253.09,,,,55881.17,24369.26,,,
,C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,17185.62,,,75813.68,332644.08,,,,58010.44,15303.24,,,
,C00093963,ARCHER DANIELS MIDLAND COMPANY-ADM PAC,Monthly,2016,PAC,Unauthorized,2015-04-01,2015-04-30,6500.00,,,13438.80,42562.02,,,,8600.48,4838.32,,,
,C00555367,ASHTON WOODS CORP. HOMES PAC,Monthly,2016,PAC,Unauthorized,2015-02-01,2015-02-28,,,,185.46,4780.65,,,,,185.46,,,
,C00082917,ASSOCIATED GENERAL CONTRACTORS OF AMERICA POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,6094.00,,,32634.57,343105.02,,,,29674.92,2888.45,,,
,C00348292,ASSOCIATION OF CIVILIAN TECHNICIANS POLITICAL ACTION COMMITTEE FUND,Monthly,2016,PAC,Unauthorized,2015-02-01,2015-02-28,,,,500.76,13302.63,,,,315.61,185.15,,,
,C00109017,AT&T INC. FEDERAL POLITICAL ACTION COMMITTEE (AT&T FEDERAL PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,173015.00,,,209028.72,501348.02,,,,53247.13,155773.26,,,
,C00093179,AUSTIN INDUSTRIES COMPANIES POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,,,,2155.72,23113.32,,,,840.00,1315.72,,,
,C00364778,BANK OF AMERICA CORPORATION FEDERAL PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,45500.00,,,42463.48,148232.94,,,,17649.04,24814.44,,,
,C00161901,AXA EQUITABLE LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE (AXA EQUITABLE PAC),Monthly,2016,PAC,Unauthorized,2015-01-01,2015-01-31,1000.00,,,6294.80,155935.56,,,,579.48,5715.32,,,
,C00117838,BAXTER HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,,,,11352.51,84542.57,,,,5236.53,6115.98,,,
,C00281162,BAYER CORPORATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,,,,19243.03,192000.11,,,,4262.30,14980.73,,,
,C00194126,BEAM SUNTORY INC POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,,,,4710.88,31526.78,,,,2095.62,2615.26,,,
,C00405076,"BEST BUY CO., INC EMPLOYEE POLITICAL FORUM",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,18000.00,,,19749.62,17857.79,,,,2273.59,17475.80,,,
,C00390583,"BHFS-E, PC PAC (BROWNSTEIN HYATT FARBER SCHRECK POLITICAL ACTION COMMITTEE)",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,49500.00,,,21445.17,12334.79,,,,20450.17,995.00,,,
,C00390351,"BIOGEN, INC. POLITICAL ACTION COMMITTEE A.K.A. 'BIOGEN PAC'",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,,,,11623.00,132284.75,,,,7497.00,4126.00,,,
,C00035519,"BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC.   ( PNC PAC)",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,30006.00,,,23671.29,88664.57,,,,,23671.29,,,
,C00383588,"BIRCH, HORTON, BITTNER AND CHEROT PC PAC",Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,34.50,,,,35.00,,,,,,,,
,C00150797,BLANK  ROME PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,10250.00,,,5995.20,33441.59,,,,5850.10,145.10,,,
,C00557793,BLUE ORIGIN LLC POLITICAL ACTION COMMITTEE (BLUE ORIGIN PAC),Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-03-31,1000.00,,,,6990.00,,,,,,,,
,C00503003,BLUECROSS BLUESHIELD OF TENNESSEE INC POLITICAL ACTION COMMITTEE (BCBSTN PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,6505.00,,,2146.94,40878.93,,,,160.00,1986.94,,,
,C00235655,BLUEGRASS COMMITTEE,Monthly,2016,PAC,Leadership PAC,2015-01-01,2015-01-31,29672.35,,,17.70,109497.37,,,,,,,,
,C00086256,BMO HARRIS BANK N.A. GOVERNMENT AFFAIRS FUND,Monthly,2016,PAC,Unauthorized,2015-01-01,2015-01-31,2000.00,,,2803.50,48704.06,,,,627.00,2176.50,,,
,C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,118300.00,,,140764.19,400958.12,,,,75831.51,64932.68,,,
,C00040949,BOILERMAKERS BLACKSMITHS FORGERS AND HELPERS OF AMERICA LOCAL 169 BOILERMAKERS PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,318.84,,,7182.17,27458.00,,,,,7182.00,,,
,C00351924,BOK FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-02-01,2015-02-28,2500.00,,,,103135.18,,,,,,,,
,C00567545,BOOTS POLICITAL ACTION COMMITTEE,Monthly,2016,PAC,Leadership PAC,2015-03-01,2015-03-31,,,,,4975.00,,,,,,,,
,C00567545,BOOTS POLICITAL ACTION COMMITTEE,Monthly,2016,PAC,Leadership PAC,2015-02-01,2015-02-28,5.00,,,,4975.00,,,,,,,,
,C00079855,"BOWLING PROPRIET0RS' ASSOCIATION OF AMERICA, INC PAC",Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,,,,200.00,24724.62,,,,,200.00,,,
,C00060103,BP CORPORATION NORTH AMERICA INC. POLITICAL ACTION COMMITTEE (BP EMPLOYEE PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,17774.00,,,30816.06,170403.02,,,,19817.23,10993.59,,,
,C00021295,BRACEPAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,13500.00,,,25000.00,37883.82,,,,19263.74,5736.26,,,
H0MS04120,C00477323,PALAZZO FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-06-30,68168.52,,2500.00,178635.00,339625.68,,90750.00,,84600.00,3285.00,,,
,C00318766,CALIFORNIA INDEPENDENT PETROLEUM ASSOCIATION FEDERAL PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,1006.00,,,4195.00,23751.04,,,,3000.00,195.00,,,
,C00478404,BRIDGEPOINT EDUCATION INC. PAC,Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,40500.00,,,16224.14,127091.95,,,,10035.82,6188.32,,,
,C00371948,BRIDGESTONE AMERICAS INC. PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,2733.12,,,3320.61,65475.66,,,,1083.32,2237.29,,,
,C00405050,BRINGING EVERYONE TOGETHER THROUGH ADVOCACY,Monthly,2016,PAC,Leadership PAC,2015-02-01,2015-02-28,1000.00,,,,4997.78,,,,,,,,
,C00448472,BRINGING LEADERSHIP BACK PAC,Termination report,2016,PAC,Leadership PAC,2015-01-01,2015-01-31,,,,,184.73,,,,,,,,
,C00448472,BRINGING LEADERSHIP BACK PAC,Termination report,2016,PAC,Leadership PAC,2015-02-01,2015-02-28,184.73,,,,,,,,,,,,
,C00477919,BROADCOM CORPORATION PAC,Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,,,,,48204.56,,,,,,,,
,C00254953,BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SEPARATE SEGREGATED FUND (JACKSON NATIONAL PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,22650.00,,,15024.90,31856.03,,,,13615.39,1409.51,,,
,C00550392,AHS MEDICAL HOLDINGS LLC FEDERAL PAC,Monthly,2016,PAC,Unauthorized,2015-05-01,2015-05-31,,,,,5000.00,,,,,,,,
,C00059733,BROWN-FORMAN CORPORATION NON-PARTISAN COMMITTEE FOR RESPONSIBLE GOVERNMENT,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,33.16,,,8229.28,140169.52,,,,616.66,7612.62,,,
,C00114694,AIRLINES FOR AMERICA (A4A) POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-05-01,2015-05-31,6103.05,,,7575.23,121176.91,,,,7547.73,27.50,,,
,C00329425,BURGER KING FRANCHISEE PAC,Monthly,2016,PAC,Unauthorized,2015-04-01,2015-04-30,2922.29,,,4701.36,77142.60,,,,4500.00,200.00,,,
,C00205435,CALIFORNIA TOMATO GROWERS ASSOCIATION PAC,A,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,,56.00,,,,,,,,
,C00417774,CALIFORNIA COAST CREDIT UNION FEDERAL PAC,Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,,,,1466.10,34788.16,,,,201.93,1264.17,,,
,C00505974,CALIFORNIA NATIONS INDIAN GAMING ASSOCIATION FEDERAL PAC (CNIGA FED PAC),Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,350.00,,,,28550.00,,,,,,,,
,C00228122,CALIFORNIA PRO LIFE COUNCIL INC POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,,,,,885.39,,,,,,,,
,C00389429,CALPORTLAND COMPANY POLITICAL ACTION COMMITTEE (CPCC-PAC),Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,17000.00,,5111.00,2900.00,23286.19,,,,2425.00,475.00,,,
,C00415166,CAMPBELL SOUP COMPANY PAC CAMPBELL PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,,,,2822.50,37153.10,,,,833.32,1989.18,,,
,C00270967,"CAPITAL BLUEPAC, THE POLITICAL ACTION COMMITTEE OF CAPITAL BLUECROSS",Monthly,2016,PAC,Unauthorized,2015-02-01,2015-02-28,1750.00,,,1576.22,5777.15,,,,490.00,1086.22,,,
,C00326595,CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL FUND,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,202547.14,,,94147.81,196559.25,,,,81430.62,10217.19,,,
,C00506907,CAPAC LEADERSHIP PAC,Monthly,2016,PAC,Leadership PAC,2015-04-01,2015-04-30,,,,,6285.79,,,,,,,,
,C00332833,CARDINAL HEALTH INC. PAC AKA CARDINAL HEALTH COMPANIES PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,57015.00,,,23251.12,173321.01,,,,7256.65,15976.43,,,
,C00275529,CASH AMERICA INTERNATIONAL INC. POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-01-01,2015-01-31,15000.00,,,19912.79,99869.77,,,,5152.04,14760.75,,,
,C00275529,CASH AMERICA INTERNATIONAL INC. POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-02-01,2015-02-28,2800.00,,,36809.50,133879.27,,,,30578.53,6230.97,,,
,C00461574,CAREER EDUCATION CORPORATION PAC (CEC PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,,,,1317.00,39018.42,,,,180.00,1137.00,,,
,C00411611,SECURE PAC,Monthly,2016,PAC,Leadership PAC,2015-06-01,2015-06-30,,,,9.03,219733.56,,,,,,,,
,C00084871,CELANESE CORPORATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,15.00,,,6355.52,291789.64,,,,3884.46,2471.06,,,
,C00397851,CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,4100.00,,,61485.30,564049.76,,,,21844.99,39640.31,,,
,C00333534,"CENTERPOINT ENERGY, INC. POLITICAL ACTION COMMITTEE",Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,11260.00,,,13125.53,50263.40,,,,3764.19,9361.34,,,
,C00130385,CENTRAL PACIFIC BANK FED PAC AKA; CPB PAC-FED,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,1000.00,,,3440.00,16728.00,,,,3440.00,,,,
,C00143305,CH2M HILL COMPANIES LTD PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,9088.21,,,10731.68,38425.23,,,,834.00,9897.68,,,
,C00555532,CENTURY ALUMINUM COMPANY PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,1070.00,,,9435.00,14765.00,,,,50.00,520.00,,,
,C00082040,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA PAC (US CHAMBER PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,21612.33,,,50900.20,184890.22,,15000.00,,34695.40,1190.00,,,
,C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,52000.00,,,78397.00,727585.88,,,,66749.00,11648.00,,,
,C00389288,CHESAPEAKE ENERGY CORPORATION FED PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,25800.00,,,36377.06,559960.69,,,,19225.90,17151.16,,,
,C00035006,CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE - CHEVRON CORPORATION,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,111500.00,,,39570.28,125512.17,,,,25092.34,14460.68,,,
,C00149104,CHS INC. POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,5500.00,,,17547.43,102751.12,,,,15333.34,2209.96,,,
,C00149104,CHS INC. POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,3000.00,,,6300.36,101216.45,,,,3168.40,3127.66,,,
,C00087478,CINCINNATI BELL INC FEDERAL PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,1250.00,,,1157.47,19571.30,,,,230.76,926.71,,,
,C00087478,CINCINNATI BELL INC FEDERAL PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,800.00,,,1122.10,19893.40,,,,505.42,616.68,,,
,C00362707,"CISCO SYSTEMS, INC. FEDERAL PAC, AKA CISCO SYSTEMS EPAC",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,5000.00,,,20731.16,143135.02,,,,14922.76,5808.40,,,
,C00362707,"CISCO SYSTEMS, INC. FEDERAL PAC, AKA CISCO SYSTEMS EPAC",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,37500.00,,,19978.88,125613.90,,,,16142.06,3836.82,,,
,C00039305,CITIGROUP INC. PAC - STATE (CITI PAC-STATE),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,18305.00,,,10353.12,8765.47,,,,1261.50,9091.62,,,
,C00039305,CITIGROUP INC. PAC - STATE (CITI PAC-STATE),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,13500.00,,,12787.80,38128.98,,,,6675.63,6112.17,,,
,C00008474,CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,109600.00,,,151870.98,332313.77,,,,142792.32,9078.66,,,
,C00307249,"CITIZENS FINANCIAL GROUP, INC. POLITICAL ACTION COMMITTEE (CITIZENS PAC)",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,12500.00,,,7184.20,66686.85,,,,2751.84,4432.36,,,
,C00043992,"CITIZENS FOR GLOBAL SOLUTIONS, INC. POLITICAL ACTION COMMITTEE -- GLOBAL SOLUTIONS PAC",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,111.19,,,25.00,310.52,,,,,25.00,,,
,C00295527,CITIZENS UNITED POLITICAL VICTORY FUND,Monthly,2016,PAC,Unauthorized,2015-02-01,2015-02-28,21627.53,,,41472.49,566279.18,,,,6505.00,34967.49,,,
,C00076299,CME GROUP INC. PAC,Monthly,2016,PAC,Unauthorized,2015-01-01,2015-01-31,,,,21827.02,1220666.33,,,,17563.33,4263.69,,,
,C00274944,COLLEGE OF AMERICAN PATHOLOGISTS POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,17614.40,,,4160.00,472802.64,,,,2750.00,1410.00,,,
,C00370122,COMMITTEE FOR A DEMOCRATIC FUTURE,Monthly,2016,PAC,Leadership PAC,2015-01-01,2015-01-31,2912.54,,,,1506.40,,,,,,,,
,C00323352,COMMITTEE FOR A LIVABLE FUTURE,Monthly,2016,PAC,Leadership PAC,2015-02-01,2015-02-28,303.95,,,100.72,27844.18,,,,,100.00,,,
,C00163048,COMMUNITY ACTION PROGRAM - POLITICAL ACTION COMMITTEE (CAP-PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,53506.33,,,35179.10,1234.59,,,,12978.00,22201.10,,,
,C00481176,CONCERNED AMERICANS FOR FREEDOM & OPPORTUNITY PAC (CAFO PAC),Monthly,2016,PAC,Leadership PAC,2015-04-01,2015-04-30,108.40,,,,14556.29,,,,,,,,
H0AR03022,C00465237,CONSERVATIVE ARKANSAS,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,445.95,,,1525.00,4301.67,,,,,1525.00,,,
,C00279331,CONSOL ENERGY INC. PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,-3650.00,,,16272.56,184068.78,,,,9587.28,6685.28,,,
,C00341016,CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,,,,,27808.38,,,,,,,,
,C00491175,VIRGINIA FARM BUREAU FEDERATION AGPAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,2669.17,,,12562.44,101320.74,,,,,12562.44,,,
P20003158,C00498824,TAMI STAINFIELD FOR PRESIDENT,Quarterly,2016,Presidential,Principal Committee of Candidate,2015-04-01,2015-06-30,1292.10,,,0.48,2977.33,,,,,,,,
,C00161604,COOPERATIVE OF AMERICAN PHYSICIANS FEDERAL POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-01-01,2015-01-31,53100.00,,,12425.00,18803.22,,,,,12425.00,,,
,C00252791,"CRACKER BARREL OLD COUNTRY STORE, INC. PAC",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,,,,3051.28,45231.73,,,,840.32,2210.96,,,
,C00503680,CROP INSURANCE PROFESSIONALS ASSOCIATION PAC-CIPA PAC,Monthly,2016,PAC,Unauthorized,2015-02-01,2015-02-28,1000.00,,,,32132.27,,,,,,,,
,C00432393,CRUISE LINES INTERNATIONAL ASSOCIATION PAC (CLIA PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,,,,,48246.09,,,,,,,,
,C00422501,CSL BEHRING EMPLOYEES POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-04-01,2015-04-30,2500.00,,,3368.58,22513.25,,,,3368.58,,,,
,C00262295,CTIA - THE WIRELESS ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,18500.00,,,12152.99,212189.67,,5000.00,,6368.99,784.00,,,
,C00481291,CYBERONICS INC FEDERAL POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,,,,6470.08,37875.82,,,,2336.17,4133.91,,,
,C00235655,BLUEGRASS COMMITTEE,Monthly,2016,PAC,Leadership PAC,2015-03-01,2015-03-31,70711.35,,,199316.48,255846.31,,123500.00,,75800.00,,,,
,C00108282,"DARDEN RESTAURANTS, INC. EMPLOYEES GOOD GOVERNMENT FUND",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,,,,14971.98,93830.18,,,,1020.56,13951.42,,,
,C00022756,DARIGOLD POLITICAL ACTION COMMITTEE (FKA NORTH PACIFIC DAIRYMEN'S COOPERATIVE TRUST),Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,5.45,,,895.00,2827.00,,,,,895.00,,,
,C00340083,DEAN FOODS COMPANY POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,5000.00,,,8.83,84409.74,,,,,,,,
,C00204099,DEERE & COMPANY PAC (AKA JOHN DEERE PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,24.96,,,63133.36,606104.15,,,,30855.34,32181.56,,,
,C00325993,DEFEND AMERICA PAC,Monthly,2016,PAC,Leadership PAC,2015-02-01,2015-02-28,6110.55,,,1168.50,4513505.01,,,,,,,,
,C00214304,"DELHAIZE AMERICA, LLC POLITICAL ACTION COMMITTEE",Monthly,2016,PAC,Unauthorized,2015-01-01,2015-01-31,8000.00,,,2119.02,33663.50,,,,525.00,1594.02,,,
,C00369751,DELL INC. EMPLOYEE POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,6044.54,,,23540.38,20479.37,,,,20115.98,3424.40,,,
,C00018135,DEMOCRATIC CANDIDATE FUND,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,,,,,4586.00,,,,,,,,
,C00497917,DEPOSITORY TRUST AND CLEARING CORPORATION PAC - DTCC PAC; THE,Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,44054.00,,,21473.93,256354.21,,,,18127.77,3346.16,,,
,C00311944,DGA-PAC THE POLITICAL ACTION COMMITTEE OF THE DIRECTORS GUILD OF AMERICA INC.,Monthly,2016,PAC,Unauthorized,2015-01-01,2015-01-31,3990.04,,,14909.92,273747.94,,,,7300.00,7609.34,,,
,C00370585,DIGITALGLOBE PAC INC. (DG-PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,1000.00,,,7913.40,70981.06,,,,6375.00,1538.40,,,
,C00307991,DNC PAC,Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,9.99,,,,120.72,,,,,,,,
